a,operator,b,your answer,correct answer,correct?,time taken
17,+,9,22,26,False,12.729716777801514
5,+,3,8,8,True,2.9004316329956055
6,+,1,7,7,True,3.285917282104492
1,+,0,1,1,True,1.0535473823547363
12,+,3,15,15,True,3.7855944633483887
1,+,0,1,1,True,15.370885610580444
9,+,0,9,9,True,1.4723482131958008
15,+,0,15,15,True,1.0487258434295654
15,+,0,15,15,True,0.9884464740753174
2,+,0,2,2,True,0.8535151481628418
3,+,1,4,4,True,1.1335625648498535
12,+,4,16,16,True,1.927870512008667
4,+,0,4,4,True,0.8833789825439453
15,+,8,23,23,True,2.6918647289276123
11,+,0,11,11,True,1.0187349319458008
15,+,6,21,21,True,2.0572283267974854
10,+,3,13,13,True,1.2595014572143555
9,+,0,9,9,True,1.2627742290496826
11,+,1,12,12,True,1.1875698566436768
7,+,3,9,10,False,2.247769355773926
12,+,8,20,20,True,3.466235399246216
17,+,3,20,20,True,1.5480704307556152
4,+,0,4,4,True,0.9041078090667725
13,+,0,13,13,True,1.3083972930908203
8,+,0,8,8,True,1.168708324432373
12,+,0,12,12,True,0.9842593669891357
9,+,0,8,9,False,1.0879087448120117
16,+,7,23,23,True,8.214750528335571
13,+,1,14,14,True,1.4382812976837158
4,+,0,4,4,True,1.0388884544372559
17,+,6,23,23,True,6.236847400665283
6,+,3,9,9,True,2.3417677879333496
13,+,3,16,16,True,1.4774339199066162
7,+,4,28,11,False,3.3059651851654053
19,+,5,24,24,True,3.389850378036499
2,+,1,3,3,True,1.0282566547393799
19,+,7,26,26,True,2.65189266204834
9,+,3,12,12,True,2.7378902435302734
1,+,0,1,1,True,0.8580894470214844
7,+,5,12,12,True,2.173924446105957
3,+,2,5,5,True,1.2210195064544678
13,+,6,19,19,True,4.544785022735596
9,+,1,10,10,True,1.352426528930664
3,+,0,3,3,True,0.8788819313049316
3,+,2,5,5,True,1.1530942916870117
6,+,0,6,6,True,1.0777390003204346
9,+,5,14,14,True,3.5663001537323
2,+,0,2,2,True,0.9429512023925781
1,+,0,1,1,True,0.7840931415557861
15,+,0,15,15,True,1.9980013370513916
3,+,2,5,5,True,2.346747875213623
19,+,3,22,22,True,7.415970802307129
15,+,6,21,21,True,6.816474199295044
10,+,2,12,12,True,2.6407225131988525
18,+,9,27,27,True,5.68399715423584
12,+,8,20,20,True,1.9648919105529785
8,+,4,12,12,True,2.0772414207458496
19,+,3,22,22,True,2.5681169033050537
17,+,0,17,17,True,1.6229655742645264
10,+,5,15,15,True,1.3630192279815674
13,+,1,14,14,True,1.6528561115264893
9,+,4,13,13,True,7.110278844833374
6,+,3,9,9,True,1.453890085220337
15,+,1,16,16,True,1.2821235656738281
7,+,5,12,12,True,2.2815968990325928
18,+,4,22,22,True,3.4209251403808594
9,+,0,9,9,True,1.2334718704223633
7,+,0,7,7,True,1.6025428771972656
10,+,4,14,14,True,1.7430431842803955
7,+,3,10,10,True,9.793389320373535
5,+,4,9,9,True,2.1027350425720215
5,+,2,7,7,True,2.0352015495300293
2,+,1,3,3,True,1.5082943439483643
8,+,0,8,8,True,1.3345222473144531
17,+,3,20,20,True,3.276198625564575
1,+,0,1,1,True,0.9836981296539307
9,+,5,14,14,True,2.5058839321136475
11,+,0,11,11,True,1.438155174255371
9,+,0,9,9,True,2.4966514110565186
7,+,0,7,7,True,1.213585376739502
7,+,4,11,11,True,1.672224521636963
6,+,3,9,9,True,1.8239772319793701
17,+,2,19,19,True,2.01680588722229
11,+,6,17,17,True,2.991307020187378
4,+,1,5,5,True,1.1875395774841309
12,+,0,12,12,True,0.9789817333221436
9,+,6,15,15,True,3.1067330837249756
16,+,1,17,17,True,1.6875848770141602
17,+,1,18,18,True,3.180931329727173
7,+,3,9,10,False,3.2858831882476807
5,+,0,5,5,True,0.9795470237731934
2,+,0,2,2,True,0.808713436126709
7,+,2,9,9,True,3.3000404834747314
3,+,1,4,4,True,1.3145434856414795
9,+,3,12,12,True,2.281942367553711
1,+,0,1,1,True,0.913111686706543
1,+,0,1,1,True,0.7600610256195068
16,+,5,21,21,True,5.706562757492065
10,+,5,15,15,True,1.0493760108947754
17,+,9,26,26,True,5.0130088329315186
